Tracking Number,Accession Number,Catalog Number,Family,Genus,Subgenus,Species,Subspecies,Stage,Author,Year,Specimen Number,Collecting Method,Continent,Ocean,Sea/Gulf/Strait,Lake/Pond/Reservoir,Bay/Harbor/Sound,River/Creek,Stream,Mountain Range,Mountain,Island Group,Island,Notes: Locality,Notes: Country,Country,MISCELLANEOUS,Department / Province / State,County,City/Town/Hamlet,Specific Locale,Macro Habitat,Micro Habitat ,Substrate,Temp C,decimal latitude,decimal longitude,Latitude (from),Lat (from) NS,Latitude (to),Lat NS  (to),Longitude (from),Long (from) EW,Longitude   (to) ,Long EW  (to),Elevation from (m),Elevation to (m),Elevation from (f),Elevation to (f),Depth (f) start,Depth (f) end,Depth (m) start,Depth (m) end,Fathoms,Collector,Date Collected,Collection,Donation Date,Notes,Type,Preservation Type,Publication,Collection2
264,10023,275447,Patellidae,Cellana,,pricei,,,Powell,1973,2,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,"Tutuila Island,","Pago Pago,",,"at front of Rainmaker Hotel,",,,,,,,,,,,,,,,,,,,,,,,,J. & M. Coltro,Nov. 1994,J. & M. Coltro,5-May-95,,,,,Old/Johnson Malacology Fund
266,10050,286687,Muricidae,Drupella,,rugosa,,,Born,1778,1,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,"Tutuila Island,","Pago Pago,",,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,"June, 1977",Katherine C. Vaught,17-Jul-95,"Under coral, inside reef in front of Rainmaker Hotel.",,,,Katherine C. Vaught Collection.
220,10055,302563,Cypraeidae,Cypraea,,arabica,,,Linnaeus,1758,1,,,,,,,,,,,,,,,American Samoa,,,"along Rainmaker Hotel side,",,"1-2 feet on sand under coral rubble,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,1979,Dr. Edward A. Dunlap,27-Oct-95,Live collected,,,,Dr. Edward A. Dunlap Collection
202,10055,301849,Cypraeidae,Cypraea,,moneta,,,Linne,1758,3,,,,,,,,,,,,,,,American Samoa,,,"Beach in region of LBJ Hospital,",,"at 1 foot in sandy rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Nov-77,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
203,10055,301849,Cypraeidae,Cypraea,,moneta,,,Linne,1758,3,,,,,,,,,,,,,,,American Samoa,,,"Beach in region of LBJ Hospital,",,"at 1 foot in sandy rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Nov-77,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
196,10055,301699,Conidae,Conus,,chaldeus,,,Roeding,1798,5,,,,,,Pago Pago Harbor,,,,,,,,,American Samoa,,,"beyond fish factory,",,"in 1 foot rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,1983,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
197,10055,301699,Conidae,Conus,,chaldeus,,,Roeding,1798,5,,,,,,Pago Pago Harbor,,,,,,,,,American Samoa,,,"beyond fish factory,",,"in 1 foot rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,1983,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
198,10055,301801,Cypraeidae,Cypraea,,annula,,,Linne,1758,1,,,,,,Pago Pago Harbor,,,,,,,,,American Samoa,,,"in front of Rainmaker Hotel,",,"in sandy rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Oct-77,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
199,10055,301801,Cypraeidae,Cypraea,,annula,,,Linne,1758,1,,,,,,Pago Pago Harbor,,,,,,,,,American Samoa,,,"in front of Rainmaker Hotel,",,"in sandy rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Oct-77,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
200,10055,301802,Cypraeidae,Cypraea,,caputserpatis,,,Linne,1758,1,,,,,,Pago Pago Harbor,,,,,,,,,American Samoa,,,"in front of Rainmaker Hotel,",,"in sandy rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Nov-77,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
201,10055,301802,Cypraeidae,Cypraea,,caputserpatis,,,Linne,1758,1,,,,,,Pago Pago Harbor,,,,,,,,,American Samoa,,,"in front of Rainmaker Hotel,",,"in sandy rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Nov-77,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
204,10055,301903,Cypraeidae,Cypraea,,erosa,,,Linne,1758,13,,,,,,,,,,,,,,,American Samoa,,,near Rainmaker Hotel.,,"Live collected at 1-3 feet in sandy rubble and under it,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
205,10055,301903,Cypraeidae,Cypraea,,erosa,,,Linne,1758,13,,,,,,,,,,,,,,,American Samoa,,,near Rainmaker Hotel.,,"Live collected at 1-3 feet in sandy rubble and under it,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
